creative_id,platform,hook_type,hook_text,body_type,cta,status,spend,imp,ctr,cpc,cv,cpa,verdict,note
RM-PR-META-01,Meta,問題提起,実家、このまま放置してたら年間◯万円損してるかも,問題提起,無料で一括査定をチェックする,live,42000,560000,0.01,7.5,17,2470.59,increase,"CPA(2,471円)が目標CPAの50%以下、CV17件で好調。増額推奨"
RM-PR-META-02,Meta,問題提起,その家、今売ったらいくらになるか知ってますか？,問題提起,無料で一括査定をチェックする,live,11000,100000,0.01,11.0,2,5500.0,continue,"CPA(5,500円)が目標CPA(6,000円)以下。継続"
RM-PR-META-03,Meta,問題提起,空き家を放置すると固定資産税が上がるって知ってました？,問題提起,無料で一括査定をチェックする,draft,,,,,,,,要出典確認（税制条件未確認、docs/00_assumptions.md #19）
RM-PR-TT-01,TikTok,問題提起,実家、このまま放置してたら年間◯万円損してるかも,問題提起,無料で一括査定をチェックする,draft,,,,,,,,要出典確認（損失額根拠未確認、docs/00_assumptions.md #18）
RM-PR-TT-02,TikTok,問題提起,その家、今売ったらいくらになるか知ってますか？,問題提起,無料で一括査定をチェックする,draft,,,,,,,,
RM-PR-TT-03,TikTok,問題提起,空き家を放置すると固定資産税が上がるって知ってました？,問題提起,無料で一括査定をチェックする,draft,,,,,,,,要出典確認（税制条件未確認、docs/00_assumptions.md #19）
RM-DEMO-META-01,Meta,実演,チャットに答えるだけ。それだけで一括査定が終わる,実演,チャットで一括査定をやってみる,draft,,,,,,,,
RM-DEMO-META-02,Meta,実演,住所と間取りを入力するだけ。チャットで完結する新しい査定のカタチ,実演,チャットで一括査定をやってみる,draft,,,,,,,,
RM-DEMO-META-03,Meta,実演,実際にやってみた。◯◯秒で一括査定が終わった,実演,チャットで一括査定をやってみる,draft,,,,,,,,要実測（所要時間未計測、docs/00_assumptions.md #20）
RM-DEMO-TT-01,TikTok,実演,チャットに答えるだけ。それだけで一括査定が終わる,実演,チャットで一括査定をやってみる,live,36400,315000,0.0049,23.64,8,4550.0,decrease,CTR(0.49%)が閾値(0.5%)未満、かつCPM上昇。クリエイティブ疲弊の兆候
RM-DEMO-TT-02,TikTok,実演,住所と間取りを入力するだけ。チャットで完結する新しい査定のカタチ,実演,チャットで一括査定をやってみる,draft,,,,,,,,
